CRN,Subj,Crse,Sect,Part of Term,Session,Title,Prof,Day  Beg   End   Bldg Room  (Type),Campus,AddlInfo,Hrs,Max,MaxResv,LeftResv,Enr,Avail,WaitCap,WaitCount,WaitAvail,Room Cap
20280,ACC,03431,  1,"Full Term ... 
18-JAN to 06-MAY",Evening,TAXATION OF BUS ENTITIES,"Marmon, Richard","T       1830 1945 BUSN 131 (Class)
T       2000 2115 BUSN 131 (Class)",Main,,3,32,0,0,7,25,0,0,0,40
20282,ACC,03432,  1,"Full Term ... 
18-JAN to 06-MAY",Day,FEDERAL TAXATION,"Van Hook, Andrew P.",MW      1400 1515 BUSN 103 (Class),Main,,3,32,0,0,32,0,0,0,0,40
20283,ACC,03432,  2,"Full Term ... 
18-JAN to 06-MAY",Day,FEDERAL TAXATION,"Van Hook, Andrew P.",MW      1530 1645 BUSN 103 (Class),Main,,3,32,0,0,32,0,0,0,0,40
20286,ACC,03432,  3,"Full Term ... 
18-JAN to 06-MAY",Evening,FEDERAL TAXATION,"Van Hook, Andrew P.","W       1830 1945 BUSN 103 (Class)
W       2000 2115 BUSN 103 (Class)",Main,,3,32,0,0,28,4,0,0,0,40
20287,ACC,03432,  4,"Full Term ... 
18-JAN to 06-MAY",Day,FEDERAL TAXATION,"Marmon, Richard",TR      1530 1645 BUSN 131 (Class),Main,,3,32,0,0,26,6,0,0,0,40
20288,ACC,03432,  5,"Full Term ... 
18-JAN to 06-MAY",Online,FEDERAL TAXATION,"Marmon, Richard", ,Online,,3,32,0,0,33,-1,0,0,0,
22721,ACC,03500,  1,"Full Term ... 
18-JAN to 06-MAY",Evening,MANAGERIAL ACCOUNTING,"Glaum, Christopher J","T       1830 1945 BUSN 301 (Class)
T       2000 2115 BUSN 301 (Class)",Main,,3,30,0,0,21,9,0,0,0,40
22723,ACC,03500, 1C,"Module Four ... 
15-MAR to 09-MAY",Online,MANAGERIAL ACCOUNTING,"Scarpa, Robert F", ,Online,,3,30,0,0,31,-1,0,0,0,
24766,ACC,03510, 1C,"Module Four ... 
15-MAR to 09-MAY",Online,FINANCIAL STATEMENT ANALYS,"Daga, Kishor K", ,Online,,3,30,0,0,34,-4,0,0,0,
22728,ACC,03512,  1,"Full Term ... 
18-JAN to 06-MAY",Evening,ADV ACC INFO SYS/BUS PROC CTRL,"Lin, Tony","R       1830 1945 BUSN 107 (Class)
R       2000 2115 BUSN 107 (Class)",Main,,3,30,0,0,14,16,0,0,0,40
20289,ACC,98300,  1,"Full Term ... 
18-JAN to 06-MAY",Online,LAW FOR ACCOUNTANTS,"Hughes, Diane", ,Online,,3,32,0,0,24,8,0,0,0,
24892,ADV,04232,  1,"Full Term ... 
18-JAN to 06-MAY",Day,INTRO TO MEDIA PLANNING,"Vilceanu, Marilena Olguta",TR      0930 1045 DISCOV 414 (Class),Main,,3,30,0,0,30,0,0,0,0,48
24893,ADV,04330,  1,"Full Term ... 
18-JAN to 06-MAY",Day,INTRO ADVERTISING,"Johnson, Kristine C",MW      1400 1515 ENTPRZ 514 (Class),Main,,3,30,0,0,30,0,0,0,0,40
24894,ADV,04330,  2,"Full Term ... 
18-JAN to 06-MAY",Day,INTRO ADVERTISING,"Buckley, Maria A.",TR      1230 1345 ENTPRZ 409 (Class),Main,,3,20,0,0,20,0,0,0,0,32
24895,ADV,04330,  3,"Full Term ... 
18-JAN to 06-MAY",Day,"INTRO ADVERTISING Theme: Cannabis Industry
","Vilceanu, Marilena Olguta",TR      1530 1645 ENTPRZ 509 (Class),Main,,3,30,0,0,29,1,0,0,0,46
24896,ADV,04330, 1C,"Full Term ... 
18-JAN to 06-MAY",Online,"INTRO ADVERTISING Non-majors and Rowan Global students only.
","Ziegler, Edward", ,Online,,3,30,12,0,30,0,0,0,0,
24897,ADV,04352,  1,"Full Term ... 
18-JAN to 06-MAY",Day,ADVERTISING STRATEGIES,"Audio, Regina M","T       1100 1215 DISCOV 132 (Class)
T       1230 1345 DISCOV 132 (Class)",Main,,3,20,0,0,20,0,0,0,0,56
24898,ADV,04355,  1,"Full Term ... 
18-JAN to 06-MAY",Day,ADVERTISING PRACTICUM,STAFF,,Main,,3,0,0,0,0,0,0,0,0,
24899,ADV,04360,  1,"Full Term ... 
18-JAN to 06-MAY",Evening,INTEGRATED MARKETING COMM,"Eschbach, Peter Alan","T       1830 1945 301HGH 216 (Class)
T       2000 2115 301HGH 216 (Class)",Main,,3,20,0,0,6,14,0,0,0,20
24900,ADV,04360,  2,"Full Term ... 
18-JAN to 06-MAY",Day,INTEGRATED MARKETING COMM,"Nia-Schoenstein, Asadeh",MW      1400 1515 301HGH 305 (Class),Main,,3,24,0,0,23,1,0,0,0,29
24901,ADV,04360, 1C,"Full Term ... 
18-JAN to 06-MAY",Online,INTEGRATED MARKETING COMM,"Cheatham, David William", ,Online,,3,30,15,3,15,12,0,0,0,
24902,ADV,04360, 2C,"Full Term ... 
18-JAN to 06-MAY",Online,INTEGRATED MARKETING COMM,"Valore, Vanessa Lynn", ,Online,,3,24,0,0,12,12,0,0,0,
24903,ADV,04370,  1,"Full Term ... 
18-JAN to 06-MAY",Day,ESSENTIALS OF DESIGN,"Boyer, Mary","TR      0800 0915 WESTBY 218 (Class)
TR      0930 1045 WESTBY 218 (Class)",Main,,3,15,0,0,9,6,0,0,0,30
24904,ADV,04370,  2,"Full Term ... 
18-JAN to 06-MAY",Day,ESSENTIALS OF DESIGN,"Boyer, Mary","TR      1100 1215 WESTBY 218 (Class)
TR      1230 1345 WESTBY 218 (Class)",Main,,3,15,0,0,13,2,0,0,0,30
24905,ADV,04375,  1,"Full Term ... 
18-JAN to 06-MAY",Day,ADVERTISING COPYWRITING,"Fagan, Lisa Michelle",TR      1400 1515 301HGH 305 (Class),Main,,3,24,0,0,24,0,0,0,0,29
24906,ADV,04375,  2,"Full Term ... 
18-JAN to 06-MAY",Day,ADVERTISING COPYWRITING,"Rodolico, Louis Francis",TR      0930 1045 ENTPRZ 514 (Class),Main,,3,20,0,0,20,0,0,0,0,40
24907,ADV,04375,  3,"Full Term ... 
18-JAN to 06-MAY",Day,ADVERTISING COPYWRITING,"Rodolico, Louis Francis",MW      1230 1345 301HGH 305 (Class),Main,,3,24,0,0,24,0,0,0,0,29
24908,ADV,04420,  1,"Full Term ... 
18-JAN to 06-MAY",Day,PORTFOLIO PREPARATION,"Rodolico, Louis Francis",TR      1100 1215 ENTPRZ 514 (Class),Main,,3,24,0,0,19,5,0,0,0,40
24909,ADV,04421,  1,"Full Term ... 
18-JAN to 06-MAY",Day,ACCOUNT PLANNING,"Rodolico, Louis Francis",MW      0800 0915 301HGH 305 (Class),Main,,3,24,0,0,14,10,0,0,0,29
24910,ADV,04421,  2,"Full Term ... 
18-JAN to 06-MAY",Day,ACCOUNT PLANNING,"Audio, Regina M",MW      1230 1345 ENTPRZ 514 (Class),Main,,3,24,0,0,24,0,0,0,0,40
24911,ADV,04421,  3,"Full Term ... 
18-JAN to 06-MAY",Day,ACCOUNT PLANNING,"Johnson, Kristine C",TR      1230 1345 ENTPRZ 514 (Class),Main,,3,24,0,0,18,6,0,0,0,40
24881,ADV,04432,  1,"Full Term ... 
18-JAN to 06-MAY",Day,MEDIA PLANNING,"O'Brien, Thomas Vincent",TR      1400 1515 WHITNY CL-201 (Class),Main,,3,23,0,0,23,0,0,0,0,35
24882,ADV,04432,  2,"Full Term ... 
18-JAN to 06-MAY",Day,MEDIA PLANNING,"Vilceanu, Marilena Olguta",TR      1230 1345 ENTPRZ 509 (Class),Main,,3,24,0,0,11,13,0,0,0,46
24883,ADV,04433,  1,"Full Term ... 
18-JAN to 06-MAY",Day,DIRECT RESPNSE ADVT,"Buckley, Maria A.",TR      1400 1515 ENTPRZ 514 (Class),Main,,3,24,0,0,23,1,0,0,0,40
24884,ADV,04434,  1,"Full Term ... 
18-JAN to 06-MAY",Evening,ADVERTISING CAMPAIGNS-WI,"Rodolico, Louis Francis
Audio, Regina M
Johnson, Kristine C
","M       1700 1815 WESTBY 111 (Class)
M       1830 1945 WESTBY 111 (Class)",Main,,3,25,0,0,25,0,0,0,0,91
24885,ADV,04434,  2,"Full Term ... 
18-JAN to 06-MAY",Evening,ADVERTISING CAMPAIGNS-WI,"Audio, Regina M
Rodolico, Louis Francis
Johnson, Kristine C
","M       1700 1815 WESTBY 111 (Class)
M       1830 1945 WESTBY 111 (Class)",Main,,3,25,0,0,22,3,0,0,0,91
24886,ADV,04434,  3,"Full Term ... 
18-JAN to 06-MAY",Evening,ADVERTISING CAMPAIGNS-WI,"Johnson, Kristine C
Audio, Regina M
Rodolico, Louis Francis
","M       1700 1815 WESTBY 111 (Class)
M       1830 1945 WESTBY 111 (Class)",Main,,3,25,0,0,6,19,0,0,0,91
22410,AFST,11104,  1,"Full Term ... 
18-JAN to 06-MAY",Day,INTRO TO AFRICANA STUDIES,STAFF,,Main,,3,0,0,0,0,0,0,0,0,
22413,AFST,11104,  2,"Full Term ... 
18-JAN to 06-MAY",Day,INTRO TO AFRICANA STUDIES,"Ames, Lola C",TR      1100 1215 HAWTHN 204 (Class),Main,,3,30,0,0,26,4,0,0,0,30
22418,AFST,11304,  1,"Full Term ... 
18-JAN to 06-MAY",Evening,AFRICANA SOCIAL THOUGHT,"Alexander, Sheree Nicole","M       1830 1945 HAWTHN 204 (Class)
M       2000 2115 HAWTHN 204 (Class)",Main,,3,25,0,0,8,17,0,0,0,30
22415,AFST,11350,  1,"Full Term ... 
18-JAN to 06-MAY",Day,"TPS AS:BLACK WOMEN & BLM Black Women and BLM: Race, Gender, and Activism
","Singleton, Dawn Shamille","T       1400 1515 HAWTHN 204 (Class)
T       1530 1645 HAWTHN 204 (Class)",Main,,3,25,0,0,15,10,0,0,0,30
22436,AFST,11350,  2,"Module Three ... 
18-JAN to 14-MAR",Hybrid,"TPCS AFRICANA STUDIES:MODEL AU Class will have three face-to-face meetings on 02/24, 03/03 and 03/10 from 11:00AM - 1:45PM.
","Nyahuma, Mujahid B","R       1100 1345 ROBSON 216A (Class)
R       1100 1345 ROBSON 216A (Class)
R       1100 1345 ROBSON 216A (Class)
   ",Main,,3,0,0,0,3,-3,0,0,0,20
22424,AMST,13101,  1,"Full Term ... 
18-JAN to 06-MAY",Online,INTRO TO AMERICAN STUDIES,"Gennari, Elizabeth V", ,Online,,3,30,0,0,29,1,0,0,0,
22425,AMST,13101,  2,"Full Term ... 
18-JAN to 06-MAY",Online,INTRO TO AMERICAN STUDIES,"Gennari, Elizabeth V", ,Online,,3,30,0,0,30,0,0,0,0,
22426,AMST,13101,  3,"Module Four ... 
15-MAR to 09-MAY",Online,INTRO TO AMERICAN STUDIES,"Dashefsky, Brian F", ,Online,,3,30,0,0,30,0,0,0,0,
26341,AMST,13101,  4,"Module Four ... 
15-MAR to 09-MAY",Online,INTRO TO AMERICAN STUDIES,"Dashefsky, Brian F", ,Online,,3,30,0,0,30,0,0,0,0,
22430,AMST,13301,  1,"Full Term ... 
18-JAN to 06-MAY",Online,INTERDIS RESEARCH AND WRITING,"Prickett, Matthew", ,Online,,3,15,0,0,7,8,0,0,0,
22428,AMST,13301,  2,"Full Term ... 
18-JAN to 06-MAY",Evening,INTERDIS RESEARCH AND WRITING,STAFF,,Main,,3,0,0,0,0,0,0,0,0,
22431,AMST,13402,  1,"Full Term ... 
18-JAN to 06-MAY",Evening,SENIOR SEM AMER ST-WI,"Plourde, Bruce A","W       1830 1945 BUNCE 332 (Class)
W       2000 2115 BUNCE 332 (Class)",Main,,3,15,0,0,7,8,0,0,0,16
22434,AMST,13402,  2,"Full Term ... 
18-JAN to 06-MAY",Day,SENIOR SEM AMER ST-WI,STAFF,,Main,,3,0,0,0,0,0,0,0,0,
23467,ANTH,02202,  1,"Full Term ... 
18-JAN to 06-MAY",Day,CULTURAL ANTHROPOLOGY,STAFF,,Main,,3,0,0,0,0,0,0,0,0,
23468,ANTH,02202,  2,"Full Term ... 
18-JAN to 06-MAY",Day,CULTURAL ANTHROPOLOGY,"Cavanaugh, Taylor Michele",TR      0930 1045 BUSN 204 (Class),Main,,3,35,0,0,34,1,0,0,0,40
23470,ANTH,02202,  3,"Full Term ... 
18-JAN to 06-MAY",Online,CULTURAL ANTHROPOLOGY,"Chao, Katherine M", ,Online,,3,35,0,0,34,1,0,0,0,
23471,ANTH,02202,  4,"Full Term ... 
18-JAN to 06-MAY",Online,CULTURAL ANTHROPOLOGY,"Chao, Katherine M", ,Online,,3,35,0,0,35,0,0,0,0,
23472,ANTH,02202,  5,"Full Term ... 
18-JAN to 06-MAY",Evening,CULTURAL ANTHROPOLOGY,"Kyle, Jacquelyn M. R.","R       1830 1945 HAWTHN 104 (Class)
R       2000 2115 HAWTHN 104 (Class)",Main,,3,30,0,0,17,13,0,0,0,30
23469,ANTH,02202,  6,"Full Term ... 
18-JAN to 06-MAY",Day,CULTURAL ANTHROPOLOGY,"Hundley, James M",TR      1400 1515 LBRARY 226 (Class),Main,,3,35,0,0,34,1,0,0,0,44
23473,ANTH,02202,  7,"Full Term ... 
18-JAN to 06-MAY",Evening,CULTURAL ANTHROPOLOGY,STAFF,,Main,,3,0,0,0,0,0,0,0,0,
23402,ANTH,02202,  8,"Full Term ... 
18-JAN to 06-MAY",Online,CULTURAL ANTHROPOLOGY,"Cordle, Chelsea Marie", ,Online,,3,35,0,0,34,1,0,0,0,
23403,ANTH,02202,  9,"Full Term ... 
18-JAN to 06-MAY",Online,CULTURAL ANTHROPOLOGY,STAFF,,Online,,3,0,0,0,0,0,0,0,0,
23404,ANTH,02202, 10,"Full Term ... 
18-JAN to 06-MAY",Online,CULTURAL ANTHROPOLOGY,"Castro, Arlene D", ,Online,,3,35,0,0,35,0,0,0,0,
23406,ANTH,02202, 11,"Module Four ... 
15-MAR to 09-MAY",Online,CULTURAL ANTHROPOLOGY,"Verostick, Kirsten", ,Online,,3,35,0,0,35,0,0,0,0,
23405,ANTH,02202, 12,"Full Term ... 
18-JAN to 06-MAY",Online,CULTURAL ANTHROPOLOGY,"Kyle, Jacquelyn M. R.", ,Online,,3,35,0,0,36,-1,0,0,0,
26346,ANTH,02202, 13,"Module Four ... 
15-MAR to 09-MAY",Online,CULTURAL ANTHROPOLOGY,"Cushman, Robert Dustin", ,Online,,3,35,0,0,24,11,0,0,0,
23387,ANTH,02202, 1C,"Full Term ... 
18-JAN to 06-MAY",Online,"CULTURAL ANTHROPOLOGY Rowan Global students only.
",STAFF,,Online,,3,0,0,0,0,0,0,0,0,
23474,ANTH,02203,  1,"Full Term ... 
18-JAN to 06-MAY",Evening,INTRO ARCHEOLOGY,"Hill, Jane A",TR      1700 1815 ROBSON 205 (Class),Main,,3,29,0,0,28,1,0,0,0,29
23475,ANTH,02203,  2,"Full Term ... 
18-JAN to 06-MAY",Evening,INTRO ARCHEOLOGY,"Hill, Jane A",MW      1700 1815 ROBSON 205 (Class),Main,,3,29,0,0,29,0,0,0,0,29
23476,ANTH,02215,  1,"Full Term ... 
18-JAN to 06-MAY",Day,MEDICAL ANTHROPOLOGY,"Schug, Seran E",TR      1530 1645 ROBSON 205 (Class),Main,,3,29,0,0,29,0,0,0,0,29
23477,ANTH,02215,  2,"Full Term ... 
18-JAN to 06-MAY",Day,MEDICAL ANTHROPOLOGY,"Schug, Seran E",TR      1100 1215 ROBSON 205 (Class),Main,,3,29,0,0,29,0,0,0,0,29
23478,ANTH,02221,  1,"Full Term ... 
18-JAN to 06-MAY",Day,HUMAN VARIATION,"Getler, Anna Elizabeth",TR      0930 1045 ROBSON 205 (Class),Main,,3,29,0,0,29,0,0,0,0,29
23479,ANTH,02221,  2,"Full Term ... 
18-JAN to 06-MAY",Online,HUMAN VARIATION,"Mitchell, Tovah Jennifer Ross", ,Online,,3,35,0,0,34,1,0,0,0,
23407,ANTH,02221,  3,"Full Term ... 
18-JAN to 06-MAY",Online,HUMAN VARIATION,"Mitchell, Tovah Jennifer Ross", ,Online,,3,35,0,0,35,0,0,0,0,
23408,ANTH,02221,  4,"Full Term ... 
18-JAN to 06-MAY",Online,HUMAN VARIATION,"McCaffrey, Amanda K", ,Online,,3,35,0,0,35,0,0,0,0,
23409,ANTH,02221,  5,"Full Term ... 
18-JAN to 06-MAY",Online,HUMAN VARIATION,"McCaffrey, Amanda K", ,Online,,3,35,0,0,35,0,0,0,0,
23424,ANTH,02221,  6,"Full Term ... 
18-JAN to 06-MAY",Day,HUMAN VARIATION,"Getler, Anna Elizabeth",TR      1230 1345 LBRARY 126 (Class),Main,,3,35,0,0,35,0,0,0,0,40
25852,ANTH,02221,  7,"Full Term ... 
18-JAN to 06-MAY",Online,HUMAN VARIATION,"Cordle, Chelsea Marie", ,Online,,3,35,0,0,35,0,0,0,0,
23480,ANTH,02240,  1,"Full Term ... 
18-JAN to 06-MAY",Day,FOOD AND CULTURE,"Gabriel, Jay F",MW      1100 1215 LBRARY 226 (Class),Main,,3,35,0,0,34,1,0,0,0,44
23481,ANTH,02245,  1,"Full Term ... 
18-JAN to 06-MAY",Day,SPORT AND CULTURE,STAFF,,Main,,3,0,0,0,0,0,0,0,0,
23482,ANTH,02275,  1,"Full Term ... 
18-JAN to 06-MAY",Evening,ANTH OF RACE AND ETHNICITY,STAFF,,Main,,3,0,0,0,0,0,0,0,0,
